Depth,S1,S2,S3,TOC,PP,Tmax,classes
4330,66.41,16.33,1.47,2.82,82.7,444,Excellent/Very Good
4360,20.05,8.9,1.39,1.36,28.9,440,Excellent/Good
4381,10.28,8.42,1.43,1.32,18.7,441,Excellent/Good
4387,10.5,11.95,1.49,1.69,22.5,441,Excellent/Good
4390,41.67,13.86,1.89,2.97,55.5,442,Excellent/Very Good
4396,29.75,14.61,1.71,2.52,44.4,443,Excellent/Very Good
4402,20.76,11.22,1.47,1.92,32,439,Excellent/Good
4411,41.04,11.27,1.61,2.64,52.3,439,Excellent/Very Good
4432,48.98,12.16,1.4,2.82,61.1,439,Excellent/Very Good
4450,33.15,12.14,1.33,2.15,45.3,441,Excellent/Very Good
4459,46.01,13.3,1.42,2.97,59.3,444,Excellent/Very Good
4471,24.05,12.35,1.73,2.37,36.4,443,Excellent/Very Good
4480,25.9,10.82,1.49,2.11,36.7,434,Excellent/Very Good
4490,19.35,8.79,1.48,1.75,28.1,440,Excellent/Good
4500,13.12,8.26,1.36,1.37,21.4,441,Excellent/Good
4507,25.8,9.14,1.81,2.32,34.9,440,Excellent/Very Good
4513,11.16,7.3,0.86,1.58,18.5,428,Excellent/Good
4519,17.86,9.47,0.97,1.59,27.3,434,Excellent/Good
4531,15.69,5.79,1.21,1.42,21.5,437,Excellent/Good
4534,22.26,5.78,1.58,1.97,28,425,Excellent/Good
4537,17.97,4.77,1.15,1.3,22.7,437,Excellent/Good
4540,18.56,9.14,1.02,1.91,27.7,436,Excellent/Good
